Object ID,Ticket Number,Citation Issue Date,Citaton Issue Month,Citation Issue Time,Location,Violation Code,Violation,Fine Amount,Citation Status,Amount Paid,Amount Due,Suspend Code,Suspend Process Date,Suspend Until Date,Disposition Code,Last Edited Date,Geom
1,977404120,2/29/08,,11:57,561 OFARRELL,V22500H,DBL PARK,65,Closed,$90.00 ,0,109 109TRNLN,03/11/2008 12:00:00 AM +0000,04/01/2008 12:00:00 AM +0000, ,,"(37.7856012607, -122.41396696)"
2,977404131,3/2/08,,16:32,162 GEARY ST,V22500H,DBL PARK,65,Closed,$65.00 ,0,109 109TRNLN,03/11/2008 12:00:00 AM +0000,04/01/2008 12:00:00 AM +0000, ,,"(37.7877148223, -122.406035679)"
3,977404142,3/2/08,,15:00,1055 OFARRELL,V22500H,DBL PARK,65,Open, $                       -,90, ,,, ,,"(37.7846059732, -122.421865197)"
4,100000502,3/2/08,,14:26,431 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7858668852, -122.411853807)"
5,100000503,3/4/08,,16:42,908 GEARY,V22500I,BUS ZONE,250,Closed,$250.00 ,0, ,,, ,,"(37.7861515263, -122.418291079)"
6,100000504,3/4/08,,9:36,577 OFARRELL,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7855694751, -122.414219806)"
7,100000505,3/6/08,,13:30,487 OFALLELL,V22500H,DBL PARK,65,Closed,$125.00 ,0, ,,,26 COLFFDMV,,
8,100000506,3/6/08,,13:29,819 OFALLELL,V22500H,DBL PARK,65,Closed,$125.00 ,0, ,,, ,,
9,100000507,3/6/08,,13:31,819 OFALLELL,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,,23 PD TIMELY,,
10,100000508,3/9/08,,15:33,581 OFARRELL,V22500I,BUS ZONE,250,Open, $                       -,275, ,,, ,,"(37.7855615283, -122.414283019)"
11,100000509,3/9/08,,12:18,320 GEARY,V22500I,BUS ZONE,250,Open, $                       -,275, ,,, ,,"(37.7873853343, -122.408619108)"
12,100000526,3/10/08,,8:26,48 GEARY ST,V22500H,DBL PARK,65,Closed,$65.00 ,0, ,,, ,,"(37.7879408486, -122.404263188)"
13,100000527,3/10/08,,13:43,470 GEARY,V22500H,DBL PARK,65,Closed,$125.00 ,0, ,,, ,,"(37.7870749227, -122.411052542)"
